lpreciom2,lsup_constru,ldistancia_playa,long,condicion,dormitorios,banos,garage,ascensores,ammenities,lexpensas
7.455050582529519,4.248495242049359,-0.1774286981787517,-56.1517528,used,2,1,No,0,0,7.550135342488429
7.852216887822989,3.737669618283368,0.42697110132393096,-56.1570984,used,2,1,No,0,1,7.824445930877619
7.940118182109046,4.867534450455582,-0.5016073311191047,-56.140151,used,3,3,Si,2,12,9.852246888342531
7.983894711798188,4.31748811353631,0.6143587689733426,-56.1592071,new,2,2,Si,1,11,8.294299608857235
7.966836728893612,4.454347296253507,0.18604928635416437,-56.1553169,used,3,2,No,1,5,8.612685172875459
8.190977454962214,4.574710978503383,-0.9813452061705884,-56.1472827,used,3,2,Si,0,4,9.15915233520675
8.040768994367578,3.688879454113936,-0.03129746843914759,-56.161966,used,1,1,No,1,2,8.294299608857235
8.185836055461795,3.6635616461296463,0.03285888973601357,-56.1533634,used,1,1,No,0,0,8.294299608857235
8.320482897170184,4.02535169073515,0.4635607351817328,-56.1584972,used,1,1,Si,1,10,8.343077871169383
8.237608329197077,3.713572066704308,-0.1953352820572871,NA,new,1,1,No,1,6,8.294299608857235
7.982270016071186,4.248495242049359,-0.8624446543988923,-56.1445618,used,2,2,No,1,7,8.902591637374087
7.994391376603531,4.941642422609304,-0.0845877289640546,-56.1526968,used,3,3,Si,2,11,9.546884034617925
7.783224016336037,5.0106352940962555,-2.0440484435822164,-56.1452282,used,3,3,No,2,9,8.294299608857235
8.03376654183836,4.0943445622221,-0.4202916050964549,-56.1522235,used,1,1,No,1,7,8.853808274977197
7.863266724009573,5.298317366548036,-0.30603413525745277,-56.1504707,used,3,3,Si,2,12,8.294299608857235
8.110727582974489,3.4011973816621555,0.4839869291441528,-56.1270967,new,3,1,No,0,2,8.294299608857235
8.19340611432234,3.8501476017100584,0.4862455246867622,-56.162157,used,2,1,No,1,8,8.294299608857235
7.848143562435353,4.812184355372417,-0.3576469903676083,-56.1503777,used,3,3,Si,2,12,9.259225769705994
8.03376654183836,3.871201010907891,0.3234777956536718,-56.1532467,used,1,1,Si,2,8,8.294299608857235
8.334871634622283,3.871201010907891,-0.6340244198663021,-56.144475,new,1,2,No,2,12,8.160803920954665
8.056377988224908,4.867534450455582,-0.6433055567764248,-56.1484247,used,3,3,No,0,0,8.294299608857235
8.105458470294478,4.382026634673881,0.18560571846847856,-56.1561697,used,2,2,Si,2,9,9.305741456739435
7.867531122796031,4.499809670330265,0.07903481267774055,-56.1609064,used,3,3,No,0,0,8.294299608857235
8.167707351049975,4.59511985013459,-0.5100449582048099,-56.1496738,used,3,3,Si,1,7,9.259225769705994
8.105039095157277,4.499809670330265,0.2336594106095441,-56.1530913,used,3,2,Si,1,10,8.480736654405622
7.582485732755851,4.919980925828125,-0.27131383256525365,-56.1504057,used,3,2,Si,1,9,9.210440366976517
7.927118195996107,4.248495242049359,-0.49662932341376503,-56.1498814,used,2,2,No,1,4,8.853808274977197
8.034019098980757,4.672828834461906,0.236009523094971,-56.1553368,used,3,2,Si,1,8,9.546884034617925
7.446751779714824,4.248495242049359,0.5314111507145975,-56.1589667,used,3,1,No,0,0,8.294299608857235
8.160518247477505,3.4657359027997265,-0.6876943637023292,-56.1460977,new,3,1,No,2,7,7.824445930877619
7.8122115532092895,4.442651256490317,-0.1953352820572871,NA,used,3,2,No,2,5,9.105090961257085
7.59573448938364,4.574710978503383,-0.19092205932564524,-56.1630914,used,3,2,No,0,1,8.160803920954665
7.914560018397124,5.247024072160486,-0.04439959730681434,-56.1528254,used,3,3,Si,2,7,9.942756341456828
7.97819669068355,4.787491742782046,0.2472304827816943,-56.1635904,used,3,3,Si,2,6,9.53249633228804
8.031685375634536,3.951243718581427,-1.1239027645730626,-56.1471443,used,1,1,No,1,4,8.006700845440367
7.871192789281994,4.060443010546419,0.2769348126470527,-56.1557954,used,1,1,No,1,6,8.294299608857235
